gia_ban,dien_tich,loai_hinh,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,chieu_dai,e_Quận Gò Vấp,e_Quận Phú Nhuận
3.85,36.0,0,5,2.0,2.0,2.0,3,6,4.5,8.0,0.0,0.0
9.79,62.0,0,1,4.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
7.2,54.0,0,5,3.0,2.0,2.0,2,7,7.0,7.7,0.0,0.0
8.5,83.0,0,5,3.0,3.0,3.0,1,2,7.5,11.5,0.0,0.0
2.85,18.0,0,5,2.0,1.0,3.0,1,2,3.0,6.0,0.0,0.0
13.0,120.0,0,5,5.0,3.0,2.0,1,2,5.6,21.0,0.0,0.0
11.2,59.4,0,5,4.0,4.0,3.0,1,7,4.2,11.3,0.0,0.0
4.58,26.0,2,5,2.0,2.0,3.0,3,2,4.0,12.0,0.0,0.0
25.8,80.0,3,5,9.0,5.0,5.0,3,2,4.0,20.0,0.0,0.0
11.3,68.0,0,5,4.0,3.0,4.0,1,7,4.0,17.5,0.0,0.0
11.5,60.0,0,5,4.0,3.0,4.0,1,7,4.5,15.0,0.0,0.0
24.5,200.0,4,5,5.0,5.0,3.0,1,7,10.0,20.0,0.0,0.0
33.9,88.0,3,5,6.0,6.0,4.0,4,6,4.4,20.0,0.0,0.0
25.8,80.0,3,5,9.0,5.0,5.0,3,6,4.0,20.0,0.0,0.0
4.7,48.0,0,1,3.0,2.0,3.0,1,2,4.0,12.0,0.0,0.0
9.3,70.0,0,5,5.0,4.0,3.0,2,7,5.0,12.0,0.0,0.0
10.8,130.0,0,5,10.0,6.0,2.0,2,2,4.5,24.0,0.0,0.0
62.0,303.0,4,5,5.0,6.0,4.0,4,2,12.15,22.75,0.0,0.0
8.0,48.9,0,5,3.0,3.0,3.0,1,7,3.2,15.0,0.0,0.0
11.0,92.0,0,5,5.0,5.0,4.0,2,7,4.0,23.0,0.0,0.0
2.85,20.0,0,1,2.0,1.0,2.0,1,2,3.0,6.5,0.0,0.0
6.4,40.0,0,5,3.0,4.0,4.0,3,7,5.0,8.0,0.0,0.0
6.4,72.0,0,5,6.0,6.0,2.0,3,2,7.0,18.0,0.0,0.0
7.2,54.0,0,5,3.0,2.0,2.0,2,7,7.0,7.7,0.0,0.0
3.85,36.0,0,5,2.0,2.0,2.0,3,6,4.5,8.0,0.0,0.0
6.4,72.0,0,5,6.0,6.0,2.0,3,2,7.0,18.0,0.0,0.0
5.959,34.0,0,5,2.0,2.0,2.0,4,2,3.0,11.5,0.0,0.0
9.79,62.0,0,1,4.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
25.2,110.0,0,5,10.0,6.0,5.0,1,7,4.0,12.0,0.0,0.0
3.68,18.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.98,32.0,0,5,3.0,3.0,3.0,3,6,4.0,8.0,0.0,0.0
7.0,30.0,2,5,5.0,4.0,5.0,4,2,5.0,6.0,0.0,0.0
8.0,63.6,0,5,5.0,4.0,4.0,3,2,5.2,12.0,0.0,0.0
3.98,17.0,0,5,2.0,3.0,3.0,4,6,3.5,5.0,0.0,0.0
4.68,35.0,0,5,2.0,2.0,2.0,4,2,5.0,6.0,0.0,0.0
22.0,120.0,4,5,5.0,6.0,6.0,3,7,6.0,20.0,0.0,0.0
3.9,20.0,0,5,2.0,2.0,2.0,3,2,3.8,6.0,0.0,0.0
6.25,27.0,0,5,3.0,4.0,3.0,4,2,4.0,12.0,0.0,0.0
7.3,54.0,0,5,3.0,3.0,3.0,1,7,6.0,9.0,0.0,0.0
3.85,36.0,0,5,2.0,2.0,2.0,3,6,4.5,8.0,0.0,0.0
6.19,50.0,0,5,2.0,2.0,2.0,2,7,4.2,12.0,0.0,0.0
7.89,56.0,0,5,2.0,2.0,2.0,2,2,4.0,14.0,0.0,0.0
7.79,78.0,0,5,2.0,2.0,2.0,2,7,6.0,13.0,0.0,0.0
5.5,44.0,0,5,2.0,2.0,2.0,1,7,3.6,12.0,0.0,0.0
2.75,14.0,0,5,2.0,2.0,3.0,3,2,3.6,4.0,0.0,0.0
5.65,32.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
4.7,24.0,0,5,2.0,3.0,3.0,1,2,4.0,7.0,0.0,0.0
6.5,46.0,0,1,3.0,3.0,2.0,1,2,4.0,12.0,0.0,0.0
5.0,35.0,0,1,5.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
5.45,38.7,0,5,2.0,2.0,2.0,1,6,3.95,12.5,0.0,0.0
7.0,52.0,3,5,7.0,6.0,3.0,1,7,4.0,12.0,0.0,0.0
10.8,105.0,0,5,6.0,5.0,4.0,3,7,4.0,27.0,0.0,0.0
11.9,90.0,0,5,3.0,3.0,2.0,4,7,5.0,18.0,0.0,0.0
6.868,35.5,0,5,5.0,3.0,3.0,1,2,3.6,9.0,0.0,0.0
2.75,14.0,0,5,2.0,2.0,3.0,3,2,4.0,12.0,0.0,0.0
4.7,53.0,0,5,3.0,2.0,2.0,1,7,4.0,12.0,0.0,0.0
7.5,68.0,0,5,3.0,4.0,3.0,3,2,5.0,14.0,0.0,0.0
9.5,80.0,0,5,3.0,4.0,3.0,3,7,5.0,12.0,0.0,0.0
9.6,60.0,0,5,3.0,4.0,4.0,3,2,6.0,10.0,0.0,0.0
7.6,42.2,0,5,3.0,2.0,3.0,1,2,2.6,14.5,0.0,0.0
10.8,60.0,0,5,5.0,5.0,2.0,3,7,4.0,12.0,0.0,0.0
3.98,20.0,0,5,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
3.9,22.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
3.98,20.0,0,1,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
3.98,19.0,0,5,2.0,3.0,3.0,3,2,4.0,12.0,0.0,0.0
10.29,55.0,0,1,5.0,3.0,4.0,4,2,4.1,14.0,0.0,0.0
4.0,30.0,0,5,3.0,4.0,4.0,3,7,4.0,12.0,0.0,0.0
15.0,64.0,0,5,5.0,4.0,5.0,0,7,4.2,15.0,0.0,0.0
3.55,20.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.45,40.0,0,5,2.0,3.0,3.0,1,7,3.0,12.0,0.0,0.0
7.9,52.0,0,5,2.0,2.0,3.0,1,7,3.55,13.0,0.0,0.0
6.95,33.0,0,1,3.0,3.0,3.0,1,7,4.6,7.0,0.0,0.0
8.45,55.0,0,5,4.0,5.0,3.0,4,7,5.7,12.0,0.0,0.0
3.98,20.0,0,5,2.0,3.0,3.0,3,2,4.0,12.0,0.0,0.0
18.0,110.0,0,5,3.0,3.0,3.0,1,7,5.5,20.0,0.0,0.0
14.5,64.0,3,5,6.0,3.0,4.0,1,2,4.0,12.0,0.0,0.0
6.8,41.3,0,5,3.0,3.0,3.0,3,2,4.0,12.0,0.0,0.0
8.2,45.0,0,5,3.0,3.0,3.0,1,7,5.0,9.0,0.0,0.0
2.7,31.0,0,5,1.0,1.0,2.0,2,2,2.0,12.0,0.0,0.0
6.5,53.0,0,5,1.0,1.0,3.0,1,1,3.0,18.5,0.0,0.0
5.8,31.0,0,5,3.0,3.0,2.0,3,7,4.1,7.5,0.0,0.0
10.1,40.0,0,5,4.0,3.0,6.0,3,7,4.0,12.0,0.0,0.0
7.6,43.0,0,5,3.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
3.8,19.0,3,5,1.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
10.0,52.0,3,5,4.0,3.0,3.0,1,2,4.25,12.0,0.0,0.0
11.8,87.0,0,5,3.0,5.0,3.0,1,7,4.0,12.0,0.0,0.0
9.3,60.0,0,5,4.0,4.0,4.0,3,7,5.0,12.0,0.0,0.0
2.9,32.0,0,5,2.0,3.0,2.0,1,2,3.0,10.0,0.0,0.0
